id_aircraft;n-number;company_id;model_id;engine_id;aircraft_type_id;year
5123;N911DQ;33;100;1;1;2018
5124;N911FJ;60;119;1;1;2003
5125;N912AN;16;43;1;1;1999
5126;N912DE;33;128;1;1;1992
5127;N912DL;33;128;1;1;1987
5128;N912DN;33;61;2;1;1996
5129;N912DU;33;100;1;1;2018
5130;N912EV;79;118;1;1;2002
5131;N912FJ;60;119;1;1;2004
5132;N912NK;90;27;1;1;2018
5133;N912NN;93;43;1;1;2012
5134;N912SW;79;118;1;1;2001
5135;N912UY;16;25;1;1;2014
5136;N912WN;80;57;1;1;2008
5137;N912XJ;33;119;1;1;2007
5138;N913AN;16;43;1;1;1999
5139;N913DE;33;128;1;1;1993
5140;N913DL;33;128;1;1;1988
5141;N913DN;33;61;2;1;1996
5142;N913DU;33;100;1;1;2018
5143;N913EV;79;118;1;1;2002
5144;N913FJ;60;119;1;1;2004
5145;N913JB;48;25;1;1;2013
5146;N913NK;90;27;1;1;2017
5147;N913NN;93;43;1;1;2013
5148;N913SW;79;118;1;1;2001
5149;N913US;16;25;1;1;2014
5150;N913WN;80;57;1;1;2008
5151;N913XJ;33;119;1;1;2007
5152;N914AN;16;43;1;1;1999
5153;N914DN;33;61;2;1;1996
5154;N914DU;33;100;1;1;2019
5155;N914EV;79;118;1;1;2003
5156;N914FJ;60;119;1;1;2004
5157;N914NN;93;43;1;1;2013
5158;N914UY;16;25;1;1;2014
5159;N914WN;80;57;1;1;2008
5160;N914XJ;33;119;1;1;2007
5161;N915AN;16;43;1;1;1999
5162;N915AT;23;76;1;1;2001
5163;N915DE;33;128;1;1;1993
5164;N915DL;33;128;1;1;1988
5165;N915DN;33;61;2;1;1996
5166;N915DU;33;100;1;1;2019
5167;N915EV;79;118;1;1;2003
5168;N915FJ;60;119;1;1;
5169;N915NK;90;27;1;1;2018
5170;N915NN;93;43;1;1;2013
5171;N915SW;79;118;1;1;
5172;N915US;16;25;1;1;2014
5173;N915WN;80;57;1;1;2008
5174;N915XJ;33;119;1;1;2007
5175;N916AN;16;43;1;1;1999
5176;N916DE;33;128;1;1;1993
5177;N916DL;33;128;1;1;1988
5178;N916DN;33;61;2;1;1996
5179;N916DU;33;100;1;1;2019
5180;N916EV;79;118;1;1;2003
5181;N916FJ;60;119;1;1;2004
5182;N916NK;21;27;1;1;2019
5183;N916NN;93;43;1;1;2013
5184;N916SW;79;118;1;1;2002
5185;N916US;16;25;1;1;2015
5186;N916WN;93;57;1;1;2008
5187;N916XJ;33;119;1;1;2008
5188;N917AN;16;43;1;1;1999
5189;N917DL;33;128;1;1;1988
5190;N917DN;33;61;2;1;1996
5191;N917DU;33;100;1;1;2019
5192;N917EV;79;118;1;1;2003
5193;N917FJ;60;119;1;1;2004
5194;N917NK;21;27;1;1;2019
5195;N917NN;93;43;1;1;2013
5196;N917SW;79;118;1;1;
5197;N917UY;16;25;1;1;2015
5198;N917WN;80;57;1;1;2008
5199;N917XJ;33;119;1;1;2007
5200;N918AE;16;135;1;1;2005
5201;N918AN;16;43;1;1;1999
5202;N918DE;33;128;1;1;1993
5203;N918DH;33;61;2;1;1996
5204;N918DU;33;100;1;1;2019
5205;N918FJ;60;119;1;1;2004
5206;N918NK;82;27;1;1;2019
5207;N918NN;93;43;1;1;2013
5208;N918SW;79;118;1;1;
5209;N918US;16;25;1;1;2015
5210;N918WN;88;57;1;1;2008
5211;N918XJ;33;119;1;1;2007
5212;N919AN;16;43;1;1;1999
5213;N919AT;23;76;1;1;2001
5214;N919DN;33;61;2;1;1997
5215;N919DU;33;100;1;1;2019
5216;N919EV;79;118;1;1;2003
5217;N919FJ;60;119;1;1;2004
5218;N919NK;21;27;1;1;2019
5219;N919NN;93;43;1;1;2013
5220;N919SW;79;118;1;1;2002
5221;N919US;16;25;1;1;2015
5222;N919WN;80;57;1;1;2008
5223;N919XJ;33;119;1;1;2008
5224;N920AN;16;43;1;1;1999
5225;N920AT;23;76;1;1;2000
5226;N920DE;33;128;1;1;1993
5227;N920DN;33;61;1;1;
5228;N920DU;21;100;1;1;2019
5229;N920EV;79;118;1;1;2003
5230;N920FJ;60;119;1;1;2004
5231;N920NK;82;27;1;1;2019
5232;N920NN;93;43;1;1;2013
5233;N920SW;79;118;1;1;2002
5234;N920US;16;25;1;1;2015
5235;N920WN;80;57;1;1;2008
5236;N920XJ;33;119;1;1;2008
5237;N921AN;16;43;1;1;1999
5238;N921AT;23;76;1;1;2000
5239;N921DN;33;61;1;1;
5240;N921DU;21;100;1;1;2019
5241;N921EV;79;118;1;1;2003
5242;N921FJ;60;119;1;1;2004
5243;N921NK;21;27;1;1;2019
5244;N921NN;93;43;1;1;2013
5245;N921US;16;25;1;1;2015
5246;N921VA;21;33;1;1;2017
5247;N921WN;93;57;1;1;2008
5248;N921XJ;33;119;1;1;2008
5249;N922AE;16;135;1;1;2005
5250;N922AN;16;43;1;1;1999
5251;N922AT;93;76;1;1;2005
5252;N922DL;33;128;1;1;1988
5253;N922DX;33;61;1;1;
5254;N922DZ;21;100;1;1;2019
5255;N922EV;79;118;1;1;2003
5256;N922FJ;93;119;1;1;2004
5257;N922NK;21;27;1;1;2019
5258;N922NN;93;43;1;1;2013
5259;N922US;16;25;1;1;2015
5260;N922VA;21;33;1;1;2017
5261;N922WN;88;57;1;1;2008
5262;N922XJ;33;119;1;1;2008
5263;N923AE;16;135;1;1;2005
5264;N923AN;16;43;1;1;1999
5265;N923AT;93;76;1;1;2005
5266;N923DN;33;61;1;1;
5267;N923DZ;33;100;1;1;2019
5268;N923EV;79;118;1;1;2003
5269;N923FJ;93;119;1;1;2004
5270;N923JB;48;25;1;1;2014
5271;N923NK;21;27;1;1;2019
5272;N923NN;93;43;1;1;2013
5273;N923SW;79;118;1;1;2002
5274;N923US;16;25;1;1;2015
5275;N923VA;21;33;1;1;2017
5276;N923WN;93;57;1;1;2008
5277;N923XJ;33;119;1;1;2008
5278;N924AN;90;43;1;1;1999
5279;N924AT;23;76;1;1;2000
5280;N924DN;33;61;1;1;
5281;N924DZ;21;100;1;1;2019
5282;N924EV;79;118;1;1;2003
5283;N924FJ;93;119;1;1;2004
5284;N924NK;82;27;1;1;2019
5285;N924NN;93;43;1;1;2013
5286;N924SW;79;118;1;1;2002
