id_route;origin_cod;dest_cod
713;ORF;MCO
714;ORF;MDW
715;PBI;ATL
716;PBI;BWI
717;PBI;ISP
718;PDX;BUR
719;PDX;DAL
720;PDX;DEN
721;PDX;LAS
722;PDX;LAX
723;PDX;MCI
724;PDX;MDW
725;PDX;OAK
726;PDX;ONT
727;PDX;PHX
728;PDX;SAN
729;PDX;SJC
730;PDX;SMF
731;PDX;STL
732;PHL;ATL
733;PHL;BNA
734;PHL;DAL
735;PHL;DEN
736;PHL;FLL
737;PHL;LAS
738;PHL;MCO
739;PHL;MDW
740;PHL;PHX
741;PHL;STL
742;PHL;TPA
743;PHX;ABQ
744;PHX;ATL
745;PHX;AUS
746;PHX;BNA
747;PHX;BOI
748;PHX;BUF
749;PHX;BUR
750;PHX;BWI
751;PHX;CLE
752;PHX;CMH
753;PHX;DAL
754;PHX;DEN
755;PHX;DSM
756;PHX;DTW
757;PHX;ELP
758;PHX;EWR
759;PHX;FLL
760;PHX;GEG
761;PHX;HOU
762;PHX;ICT
763;PHX;IND
764;PHX;LAS
765;PHX;LAX
766;PHX;LIT
767;PHX;MCI
768;PHX;MCO
769;PHX;MDW
770;PHX;MKE
771;PHX;MSP
772;PHX;MSY
773;PHX;OAK
774;PHX;OKC
775;PHX;OMA
776;PHX;ONT
777;PHX;PDX
778;PHX;PHL
779;PHX;PIT
780;PHX;RDU
781;PHX;RNO
782;PHX;SAN
783;PHX;SAT
784;PHX;SDF
785;PHX;SEA
786;PHX;SFO
787;PHX;SJC
788;PHX;SLC
789;PHX;SMF
790;PHX;SNA
791;PHX;STL
792;PHX;TPA
793;PHX;TUL
794;PIT;ATL
795;PIT;BNA
796;PIT;BWI
797;PIT;DAL
798;PIT;DEN
799;PIT;FLL
800;PIT;HOU
801;PIT;LAS
802;PIT;LAX
803;PIT;MCO
804;PIT;MDW
805;PIT;PHX
806;PIT;RSW
807;PIT;STL
808;PIT;TPA
809;PNS;BNA
810;PNS;HOU
811;PVD;BWI
812;PVD;DCA
813;PVD;FLL
814;PVD;MCO
815;PVD;MDW
816;PVD;TPA
817;PWM;BWI
818;RDU;ATL
819;RDU;BNA
820;RDU;BWI
821;RDU;DAL
822;RDU;DEN
823;RDU;FLL
824;RDU;HOU
825;RDU;LAS
826;RDU;MCI
827;RDU;MCO
828;RDU;MDW
829;RDU;PHX
830;RDU;STL
831;RDU;TPA
832;RIC;ATL
833;RNO;DEN
834;RNO;LAS
835;RNO;LAX
836;RNO;OAK
837;RNO;PHX
838;RNO;SAN
839;RNO;SJC
840;ROC;BWI
841;ROC;MCO
842;ROC;TPA
843;RSW;ATL
844;RSW;BDL
845;RSW;BWI
846;RSW;CMH
847;RSW;IND
848;RSW;MDW
849;RSW;MKE
850;RSW;PIT
851;RSW;STL
852;SAN;ABQ
853;SAN;ATL
854;SAN;AUS
855;SAN;BNA
856;SAN;BOI
857;SAN;BWI
858;SAN;DAL
859;SAN;DEN
860;SAN;EWR
861;SAN;HOU
862;SAN;LAS
863;SAN;MCI
864;SAN;MCO
865;SAN;MDW
866;SAN;MSY
867;SAN;OAK
868;SAN;PDX
869;SAN;PHX
870;SAN;RNO
871;SAN;SAT
872;SAN;SEA
873;SAN;SFO
874;SAN;SJC
875;SAN;SLC
876;SAN;SMF
877;SAN;STL
878;SAN;TPA
879;SAN;TUS
880;SAT;ATL
881;SAT;BNA
882;SAT;BWI
883;SAT;DAL
884;SAT;DEN
885;SAT;ELP
886;SAT;FLL
887;SAT;HOU
888;SAT;LAS
889;SAT;LAX
890;SAT;MCI
891;SAT;MCO
892;SAT;MDW
893;SAT;MSY
894;SAT;OAK
895;SAT;PHX
896;SAT;SAN
897;SAT;STL
898;SAT;TPA
899;SDF;BWI
900;SDF;DEN
901;SDF;HOU
902;SDF;LAS
903;SDF;MCO
904;SDF;MDW
905;SDF;PHX
906;SDF;TPA
907;SEA;BWI
908;SEA;DAL
909;SEA;DEN
910;SEA;LAS
911;SEA;MCI
912;SEA;MDW
913;SEA;OAK
914;SEA;PHX
915;SEA;SAN
916;SEA;SJC
917;SEA;SMF
918;SEA;STL
919;SFO;AUS
920;SFO;BUR
921;SFO;DAL
922;SFO;DEN
923;SFO;LAS
924;SFO;LAX
925;SFO;MDW
926;SFO;PHX
927;SFO;SAN
928;SFO;STL
929;SJC;AUS
930;SJC;BOI
931;SJC;BUR
932;SJC;BWI
933;SJC;DAL
934;SJC;DEN
935;SJC;GEG
936;SJC;HOU
937;SJC;LAS
938;SJC;LAX
939;SJC;MCO
940;SJC;MDW
941;SJC;ONT
942;SJC;PDX
943;SJC;PHX
944;SJC;RNO
945;SJC;SAN
946;SJC;SEA
947;SJC;SLC
948;SJC;SNA
949;SJC;STL
950;SJC;TUS
951;SJU;BWI
952;SJU;FLL
953;SJU;MCO
954;SJU;MDW
955;SJU;TPA
956;SLC;BUR
957;SLC;BWI
958;SLC;DAL
959;SLC;DEN
960;SLC;HOU
961;SLC;LAS
962;SLC;LAX
963;SLC;MDW
964;SLC;OAK
965;SLC;PHX
966;SLC;SAN
967;SLC;SJC
968;SLC;SMF
969;SMF;AUS
970;SMF;BOI
971;SMF;BUR
972;SMF;BWI
973;SMF;DAL
974;SMF;DEN
975;SMF;GEG
976;SMF;LAS
977;SMF;LAX
978;SMF;LGB
979;SMF;MCO
980;SMF;MDW
981;SMF;MSY
982;SMF;ONT
983;SMF;PDX
984;SMF;PHX
985;SMF;SAN
986;SMF;SEA
987;SMF;SLC
988;SMF;SNA
989;SMF;STL
990;SNA;DAL
991;SNA;DEN
992;SNA;HOU
993;SNA;LAS
994;SNA;OAK
995;SNA;PHX
996;SNA;SJC
997;SNA;SMF
998;STL;ATL
999;STL;AUS
1000;STL;BDL
1001;STL;BNA
1002;STL;BOS
1003;STL;BWI
1004;STL;CLE
1005;STL;CMH
1006;STL;DAL
1007;STL;DCA
1008;STL;DEN
1009;STL;DSM
1010;STL;DTW
1011;STL;EWR
1012;STL;FLL
1013;STL;HOU
1014;STL;ICT
1015;STL;LAS
1016;STL;LAX
1017;STL;LGA
1018;STL;LIT
1019;STL;MCI
1020;STL;MCO
1021;STL;MDW
1022;ELP;SAN
1023;EWR;BNA
1024;EWR;OAK
1025;FLL;LAS
1026;GRR;MCO
1027;GRR;RSW
1028;JAX;DAL
1029;LAS;FLL
1030;MCI;RSW
1031;MCO;GRR
1032;MSY;PIT
1033;MSY;RDU
1034;OAK;EWR
1035;OKC;BNA
1036;PIT;MSY
1037;RDU;MSY
1038;RNO;DAL
1039;RSW;DAL
1040;RSW;MCI
1041;SAN;ELP
1042;SDF;DAL
1043;SJC;ABQ
1044;SJC;ELP
1045;SMF;HOU
1046;STL;MKE
1047;STL;MSP
1048;STL;MSY
1049;STL;OKC
1050;STL;OMA
1051;STL;PDX
1052;STL;PHL
1053;STL;PHX
1054;STL;PIT
1055;STL;RDU
1056;STL;RSW
1057;STL;SAN
1058;STL;SAT
1059;STL;SEA
1060;STL;SFO
1061;STL;SJC
1062;STL;SMF
1063;STL;TPA
1064;STL;TUL
1065;TPA;ALB
1066;TPA;ATL
1067;TPA;AUS
1068;TPA;BDL
1069;TPA;BHM
1070;TPA;BNA
1071;TPA;BUF
1072;TPA;BWI
1073;TPA;CMH
1074;TPA;DAL
1075;TPA;DCA
1076;TPA;DEN
1077;TPA;FLL
1078;TPA;HOU
1079;TPA;IND
1080;TPA;ISP
1081;TPA;LAS
1082;TPA;LAX
1083;TPA;LGA
1084;TPA;MCI
1085;TPA;MDW
1086;TPA;MEM
1087;TPA;MHT
1088;TPA;MKE
1089;TPA;MSY
1090;TPA;PHL
1091;TPA;PHX
1092;TPA;PIT
1093;TPA;PVD
1094;TPA;ROC
1095;TPA;SAT
1096;TPA;SDF
1097;TPA;SJU
1098;TPA;STL
1099;TUL;DAL
1100;TUL;DEN
1101;TUL;HOU
1102;TUL;LAS
1103;TUL;PHX
1104;TUL;STL
1105;TUS;DAL
1106;TUS;DEN
1107;TUS;LAS
1108;TUS;LAX
1109;TUS;MDW
1110;TUS;SAN
1111;TUS;SJC
1112;ABQ;BWI
1113;ABQ;DAL
1114;ABQ;DEN
1115;ABQ;HOU
1116;ABQ;LAS
1117;ABQ;LAX
1118;ABQ;MCI
1119;ABQ;MDW
1120;ABQ;OAK
1121;ABQ;PHX
1122;ABQ;SAN
1123;ALB;BWI
1124;ALB;FLL
1125;ALB;MCO
1126;ALB;MDW
1127;ALB;TPA
1128;AMA;DAL
1129;AMA;LAS
1130;ATL;AUS
1131;ATL;BNA
1132;ATL;BOS
1133;ATL;BWI
1134;ATL;CLE
1135;ATL;CMH
1136;ATL;DAL
1137;ATL;DCA
1138;ATL;DEN
1139;ATL;DTW
1140;ATL;FLL
1141;ATL;HOU
1142;ATL;IAD
1143;ATL;IND
1144;ATL;JAX
1145;ATL;LAS
1146;ATL;LAX
1147;ATL;LGA
1148;ATL;MCI
1149;ATL;MCO
1150;ATL;MDW
1151;ATL;MKE
1152;ATL;MSP
1153;ATL;MSY
1154;ATL;OAK
1155;ATL;PBI
1156;ATL;PHL
1157;ATL;PHX
1158;ATL;PIT
1159;ATL;RDU
1160;ATL;RIC
1161;ATL;RSW
1162;ATL;SAN
1163;ATL;SAT
1164;ATL;STL
1165;ATL;TPA
1166;AUS;ATL
1167;AUS;BNA
1168;AUS;BOS
1169;AUS;BWI
1170;AUS;DAL
1171;AUS;DCA
1172;AUS;DEN
1173;AUS;ELP
1174;AUS;EWR
1175;AUS;FLL
1176;AUS;HOU
1177;AUS;HRL
1178;AUS;LAS
1179;AUS;LAX
1180;AUS;LBB
1181;AUS;MCI
1182;AUS;MCO
1183;AUS;MDW
1184;AUS;MSY
1185;AUS;OAK
1186;AUS;PHX
1187;AUS;SAN
1188;AUS;SFO
1189;AUS;SJC
1190;AUS;SMF
1191;AUS;STL
1192;AUS;TPA
1193;BDL;BWI
1194;BDL;FLL
1195;BDL;MCO
1196;BDL;MDW
1197;BDL;RSW
1198;BDL;STL
1199;BDL;TPA
1200;BHM;BWI
1201;BHM;DAL
1202;BHM;HOU
1203;BHM;LAS
1204;BHM;MCO
1205;BHM;MDW
1206;BHM;TPA
1207;BNA;ATL
1208;BNA;AUS
1209;BNA;BOS
1210;BNA;BWI
1211;BNA;CHS
1212;BNA;CLE
1213;BNA;CLT
1214;BNA;CMH
1215;BNA;DAL
1216;BNA;DCA
1217;BNA;DEN
1218;BNA;DTW
1219;BNA;ECP
1220;BNA;EWR
1221;BNA;FLL
1222;BNA;HOU
1223;BNA;JAX
1224;BNA;LAS
1225;BNA;LAX
1226;BNA;LGA
1227;BNA;MCI
1228;BNA;MCO
1229;BNA;MDW
1230;BNA;MKE
1231;BNA;MSP
1232;BNA;MSY
1233;BNA;OAK
1234;BNA;PHL
1235;BNA;PHX
1236;BNA;PIT
1237;BNA;PNS
1238;BNA;RDU
1239;BNA;SAN
1240;BNA;SAT
1241;BNA;STL
1242;BNA;TPA
1243;BOI;DEN
1244;BOI;GEG
1245;BOI;LAS
1246;BOI;OAK
1247;BOI;PHX
1248;BOI;SAN
1249;BOI;SJC
1250;BOI;SMF
1251;BOS;ATL
1252;BOS;AUS
1253;BOS;BNA
1254;BOS;BWI
1255;BOS;CMH
1256;BOS;DAL
1257;BOS;DEN
1258;BOS;HOU
1259;BOS;IND
1260;BOS;MCI
1261;BOS;MDW
1262;BOS;MKE
1263;BOS;STL
1264;BUF;BWI
